vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
DDS,2009-10-31 09:52:12 UTC,2009-10-31 09:52:30 UTC,-73.950389,40.753105,-73.950389,40.753105,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-19 16:38:42 UTC,2009-01-19 16:38:47 UTC,-73.979033,40.762139,-73.979033,40.762139,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-18 08:46:00 UTC,2009-04-18 08:46:00 UTC,-73.781922,40.644742,-73.781458,40.644822,,2,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-08-25 08:57:23 UTC,2009-08-25 09:12:21 UTC,-73.98071,40.729947,-73.977157,40.756962,,1,2.4,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-26 16:19:00 UTC,2009-04-26 16:20:00 UTC,-73.975582,40.744428,-73.975828,40.744448,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-06-27 17:07:00 UTC,2009-06-27 17:07:00 UTC,-73.946478,40.78049,-73.945528,40.780035,,1,0.08,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-07-10 12:41:00 UTC,2009-07-10 12:41:00 UTC,-73.946912,40.78456,-73.946887,40.784573,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-07-01 11:16:00 UTC,2010-07-01 11:16:00 UTC,-73.95388,40.813192,-73.953883,40.813195,1,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,2009-04-24 08:17:40 UTC,2009-04-24 08:33:24 UTC,-73.979312,40.784784,-73.992483,40.748567,,1,2.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-07-16 11:58:00 UTC,2010-07-16 11:58:00 UTC,-73.90213,40.764168,-73.90214,40.764165,4,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-09-13 09:56:00 UTC,2009-09-13 09:56:00 UTC,-73.987653,40.721175,-73.98766,40.721173,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-09 14:54:00 UTC,2009-04-09 14:54:00 UTC,0.0,0.0,0.0,0.0,,2,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-07-03 15:39:00 UTC,2010-07-03 15:39:00 UTC,-73.841837,40.859112,-73.841837,40.85911,4,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-02-19 15:38:00 UTC,2009-02-19 15:39:00 UTC,-73.975172,40.761752,-73.975375,40.760898,,1,0.06,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-15 06:24:00 UTC,2009-08-15 06:24:00 UTC,-73.957282,40.76592,-73.957282,40.76592,,2,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-04-07 07:03:00 UTC,2009-04-07 07:03:00 UTC,-73.955923,40.810458,-73.955918,40.810478,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-16 15:29:00 UTC,2009-05-16 15:29:00 UTC,-73.991498,40.727342,-73.991533,40.72741,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-07-08 12:15:00 UTC,2009-07-08 12:16:00 UTC,-73.993572,40.76223,-73.99333,40.762567,,5,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-24 06:02:25 UTC,2009-01-24 06:02:34 UTC,-73.954747,40.765343,-73.953926,40.766512,,1,0.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-02-13 14:41:37 UTC,2009-02-13 14:46:13 UTC,-73.977844,40.75228,-73.986348,40.758307,,2,0.6,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-10-07 10:45:51 UTC,2009-10-07 11:15:25 UTC,-73.870889,40.77377,-73.980876,40.67172,,1,11.5,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-02-07 09:23:15 UTC,2009-02-07 09:25:05 UTC,-74.005986,40.713982,-74.00807,40.713426,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-09-25 08:45:00 UTC,2009-09-25 08:45:00 UTC,-73.94489,40.751473,-73.944402,40.750705,,1,0.11,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-06 15:11:00 UTC,2009-08-06 15:11:00 UTC,-73.999615,40.761133,-73.99957,40.761135,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-01-21 13:33:00 UTC,2009-01-21 13:33:00 UTC,-73.976607,40.765617,-73.976598,40.765607,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-27 07:00:17 UTC,2009-01-27 07:00:32 UTC,-73.990417,40.756134,-73.990357,40.756107,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-08-14 11:16:38 UTC,2009-08-14 11:17:16 UTC,-73.976399,40.780784,-73.976399,40.780784,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-04-30 13:29:12 UTC,2009-04-30 13:50:19 UTC,-74.015888,40.711274,-73.986537,40.751401,,2,4.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-09-18 11:26:48 UTC,2009-09-18 11:27:19 UTC,-73.950365,40.752818,-73.950365,40.752818,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-07-15 12:23:37 UTC,2009-07-15 12:30:29 UTC,-73.998263,40.73549,-73.998666,40.745482,,1,0.8,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-03-26 09:43:00 UTC,2009-03-26 09:43:00 UTC,-74.006495,40.740137,-74.006467,40.740192,,3,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-01-06 15:13:00 UTC,2009-01-06 15:13:00 UTC,-73.793412,40.657303,-73.793743,40.657222,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-27 08:59:00 UTC,2009-02-27 09:00:00 UTC,-73.962685,40.763022,-73.963023,40.762418,,1,0.06,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-03-16 08:18:00 UTC,2009-03-16 08:18:00 UTC,-73.984413,40.740145,-73.984402,40.740163,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-09 12:31:26 UTC,2009-01-09 12:31:35 UTC,-74.006376,40.733135,-74.006372,40.73324,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-01-06 13:26:21 UTC,2009-01-06 13:26:23 UTC,-73.978784,40.761831,-73.978784,40.761831,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-06-24 06:03:00 UTC,2009-06-24 06:03:00 UTC,-73.973797,40.763438,-73.97378,40.763463,,5,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-02-23 09:57:00 UTC,2009-02-23 09:57:00 UTC,-73.78804,40.64153,-73.788013,40.641523,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-09-01 08:31:00 UTC,2009-09-01 08:32:00 UTC,-73.863093,40.769275,-73.863095,40.769278,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-08 13:05:00 UTC,2009-10-08 13:05:00 UTC,-73.985403,40.69605,-73.985375,40.696038,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-23 12:32:00 UTC,2009-08-23 12:32:00 UTC,-73.978555,40.766842,-73.978478,40.76682,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-09-20 19:47:00 UTC,2009-09-20 19:48:00 UTC,-73.992355,40.75338,-73.992318,40.75336,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-07-02 10:47:43 UTC,2009-07-02 11:04:42 UTC,-73.946243,40.772837,-73.975001,40.762128,,1,2.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-24 06:58:00 UTC,2009-10-24 06:59:00 UTC,-73.968783,40.764138,-73.968783,40.764138,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-10 15:11:00 UTC,2009-08-10 15:11:00 UTC,-73.969067,40.762713,-73.968423,40.762617,,1,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-16 09:50:00 UTC,2009-05-16 09:50:00 UTC,-73.937692,40.758242,-73.937703,40.75823,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-11-22 15:50:00 UTC,2010-11-22 15:50:00 UTC,-73.978823,40.749323,-73.97876,40.749298,1,5,0.01,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,2009-04-02 09:14:15 UTC,2009-04-02 09:29:24 UTC,-73.957566,40.7702,-74.011482,40.703704,,1,6.8,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-08-01 13:09:28 UTC,2009-08-01 13:46:20 UTC,-73.969505,40.753482,-74.015414,40.708655,,1,5.7,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-05-22 07:28:00 UTC,2009-05-22 07:29:00 UTC,-73.946747,40.818577,-73.946915,40.818767,,4,0.06,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-01-18 10:28:00 UTC,2009-01-18 10:29:00 UTC,-73.943908,40.79286,-73.943938,40.792968,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,2009-03-08 11:07:26 UTC,2009-03-08 11:07:37 UTC,-73.979152,40.776435,-73.979421,40.776305,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-21 09:36:00 UTC,2009-10-21 09:37:00 UTC,-73.937873,40.758325,-73.937857,40.758318,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-30 13:03:00 UTC,2009-08-30 13:03:00 UTC,-73.975108,40.582687,-73.974865,40.58272,,1,0.05,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-08-11 07:50:00 UTC,2009-08-11 07:51:00 UTC,-73.937387,40.75818,-73.937372,40.758185,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
VTS,2010-03-13 15:09:00 UTC,2010-03-14 00:00:00 UTC,0.0,0.0,-73.988208,40.722718,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,2009-06-06 08:50:00 UTC,2009-06-06 08:51:00 UTC,-73.910333,40.74239,-73.910335,40.74239,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-10-01 13:49:28 UTC,2009-10-01 13:50:35 UTC,-73.988219,40.740118,-73.986822,40.73967,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-09-26 17:01:00 UTC,2009-09-26 17:01:00 UTC,-73.97451,40.754828,-73.97459,40.754735,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,2009-10-04 15:15:00 UTC,2009-10-04 15:15:00 UTC,-73.984555,40.736835,-73.98455,40.736835,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,2009-07-19 07:43:31 UTC,2009-07-19 07:51:10 UTC,-73.137393,41.366138,-73.137393,41.366138,,1,2.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
